id,product_id,body,date_written,asker_name,asker_email,reported,helpful
1,1,"What fabric is the top made of?",1595884714409,"yankeelover","first.last@gmail.com",0,1
2,1,"HEY THIS IS A WEIRD QUESTION!!!!?",1613888219613,"jbilas","first.last@gmail.com",1,4
3,1,"Does this product run big or small?",1608535907083,"jbilas","first.last@gmail.com",0,8
4,1,"How long does it last?",1594341317010,"funnygirl","first.last@gmail.com",0,6
5,1,"Can I wash it?",1608855284662,"cleopatra","first.last@gmail.com",0,7
6,1,"Is it noise cancelling?",1608855284662,"coolkid","first.last@gmail.com",1,19
7,2,"Where is this product made?",1590428073460,"iluvcatz","first.last@gmail.com",0,0
8,2,"Is this product sustainable?",1608855284662,"coolkid","first.last@gmail.com",1,5
9,2,"I'm allergic to dye #17, does this product contain any?",1598026382276,"l33tgamer","first.last@gmail.com",0,6
10,2,"Why is this product cheaper here than other sites?",1618982215909,"toofast","first.last@gmail.com",0,5
11,2,"Where does this product ship from?",1608331206960,"jbilas","first.last@gmail.com",0,24
12,2,"Does this product run big or small?",1601719701422,"iluvcatz","first.last@gmail.com",0,2
13,2,"What fabric is the bottom made of?",1596386728488,"cleopatra","first.last@gmail.com",0,7
14,2,"Where is this product made?",1601273260716,"jbilas","first.last@gmail.com",0,4
15,2,"What fabric is the side made of?",1598948507460,"funnygirl","first.last@gmail.com",0,1
16,3,"How long does it last?",1596386728488,"funnygirl","first.last@gmail.com",0,0
17,3,"Does this product run big or small?",1598582805613,"coolkid","first.last@gmail.com",0,8
18,3,"Can I wash it?",1595113831034,"jbilas","first.last@gmail.com",0,5
19,3,"Why is this product cheaper here than other sites?",1590413602314,"jbilas","first.last@gmail.com",0,6
20,3,"What fabric is the front made of?",1591561204712,"internethistorian","first.last@gmail.com",0,1
21,3,"Is it noise cancelling?",1608732209572,"jbilas","first.last@gmail.com",1,4
22,3,"Is this product sustainable?",1599322748526,"cleopatra","first.last@gmail.com",0,12
23,3,"What fabric is the bottom made of?",1607644452194,"iluvcatz","first.last@gmail.com",0,6
24,3,"Where does this product ship from?",1616735709377,"toofast","first.last@gmail.com",0,17
25,3,"Where is this product made?",1605553423561,"thegrimreaker","first.last@gmail.com",0,9
26,3,"I'm allergic to dye #17, does this product contain any?",1605317722861,"rhcp81","first.last@gmail.com",0,0
27,3,"What fabric is the back made of?",1609186727092,"wildchild","first.last@gmail.com",0,5
28,3,"Can I wash it?",1596386728488,"coolkid","first.last@cbs.com",1,6
29,3,"What fabric is the top made of?",1608855284662,"wonderwoman","first.last@gmail.com",0,5
30,3,"Why is this product cheaper here than other sites?",1591280970116,"l33tgamer","first.last@gmail.com",0,4
31,4,"Where is this product made?",1616594302726,"cleopatra","first.last@gmail.com",0,2
32,4,"What fabric is the bottom made of?",1602703617189,"iluvcatz","first.last@gmail.com",0,7
33,4,"Why is this product cheaper here than other sites?",1591280970116,"toofast","first.last@gmail.com",0,4
34,5,"Can I wash it?",1605553423561,"luaulover","first.last@cbs.com",0,1
35,5,"Where is this product made?",1613151254613,"bballfan","first.last@gmail.com",0,0
36,5,"What fabric is the top made of?",1588133112402,"funnygirl","first.last@gmail.com",0,1
37,5,"Why is this product cheaper here than other sites?",1594501958231,"willsmith","first.last@gmail.com",0,4
38,5,"How long does it last?",1615015457250,"funnygirl","first.last@gmail.com",0,2
39,6,"Does this product run big or small?",1609186727092,"smithsmith","first.last@gmail.com",0,6
40,6,"Why is this product cheaper here than other sites?",1595150944180,"toofast","first.last@gmail.com",0,7
41,7,"What fabric is the top made of?",1599322748526,"coolkid","first.last@gmail.com",0,9
42,7,"How long does it last?",1591746180054,"jbilas","first.last@gmail.com",1,0
43,7,"Why is this product cheaper here than other sites?",1599322748526,"l33tgamer","first.last@gmail.com",0,5
44,8,"What fabric is the top made of?",1598461277640,"mrmrs","first.last@gmail.com",0,6
45,8,"Where is this product made?",1603066416741,"iluvcatz","first.last@aol.com",0,5
46,8,"Can I wash it?",1598688833048,"cleopatra","first.last@aol.com",0,4
47,8,"Why is this product cheaper here than other sites?",1616638689611,"h@ckerwhiz","first.last@cbs.com",0,2
48,8,"How long does it last?",1605590074641,"l33tgamer","first.last@gmail.com",0,7
49,8,"Does this product run big or small?",1604367985025,"jbilas","first.last@gmail.com",0,4
50,9,"What fabric is the bottom made of?",1591280970116,"l33tgamer","first.last@gmail.com",0,1
51,9,"Where is this product made?",1591280970116,"funnygirl","first.last@gmail.com",1,40
